週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2021-12-20/2021-12-26,1014.71,19.46,86.71,1.13,2.21,7.23
2021-12-27/2022-01-02,1020.51,17.34,86.71,0.93,1.21,6.88
2022-01-03/2022-01-09,1016.01,18.16,89.86,0.91,3.93,7.65
2022-01-10/2022-01-16,1015.87,16.37,85.29,0.89,0.71,6.19
2022-01-17/2022-01-23,1014.24,18.36,93.71,1.29,11.14,6.75
2022-01-24/2022-01-30,1012.07,18.94,94.0,0.86,7.07,5.96
2022-01-31/2022-02-06,1016.49,17.6,84.43,1.17,1.86,6.98
2022-02-07/2022-02-13,1013.14,19.23,87.86,1.23,1.36,10.05
2022-02-14/2022-02-20,1012.94,17.61,87.0,1.57,4.79,7.34
2022-02-21/2022-02-27,1018.59,16.51,88.71,1.01,3.79,7.22
2022-02-28/2022-03-06,1012.7,20.71,84.14,1.17,0.71,11.46
2022-03-07/2022-03-13,1011.94,19.57,76.43,1.1,0.64,13.45
2022-03-14/2022-03-20,1007.8,21.69,88.86,0.93,1.57,10.56
2022-03-21/2022-03-27,1009.94,21.26,92.0,1.27,2.79,8.08
2022-03-28/2022-04-03,1015.74,20.09,86.43,1.13,3.21,8.87
2022-04-04/2022-04-10,1013.9,20.04,87.29,0.97,2.43,10.86
2022-04-11/2022-04-17,1007.69,22.07,86.14,1.16,5.0,10.1
2022-04-18/2022-04-24,1010.19,22.59,87.0,0.99,2.29,12.15
2022-04-25/2022-05-01,1007.46,25.59,85.43,1.5,0.14,17.5
2022-05-02/2022-05-08,1010.01,22.29,91.86,0.99,4.64,9.38
2022-05-09/2022-05-15,1006.14,23.61,94.86,0.99,17.5,9.18
2022-05-16/2022-05-22,1007.33,22.61,92.86,0.94,4.71,9.87
2022-05-23/2022-05-29,1003.81,24.59,94.29,0.76,6.93,9.06
2022-05-30/2022-06-05,1002.47,27.11,87.86,1.09,11.79,18.22
2022-06-06/2022-06-12,1003.26,25.46,92.14,1.01,9.57,10.81
2022-06-13/2022-06-19,1004.01,27.3,86.14,1.16,1.14,16.9
2022-06-20/2022-06-26,1005.34,28.23,81.43,1.01,2.86,21.61
2022-06-27/2022-07-03,1003.33,28.69,77.43,1.16,7.29,18.31
2022-07-04/2022-07-10,1003.34,30.69,71.43,1.69,0.0,20.03
2022-07-11/2022-07-17,1002.04,28.9,79.14,1.17,0.0,23.66
2022-07-18/2022-07-24,1005.01,29.4,77.29,1.33,0.0,25.48
2022-07-25/2022-07-31,1002.16,28.79,78.0,1.2,9.0,24.06
2022-08-01/2022-08-07,1005.16,27.89,81.71,0.93,2.57,20.04
2022-08-08/2022-08-14,1004.94,28.8,77.57,0.99,0.0,23.68
2022-08-15/2022-08-21,1004.0,28.91,78.0,1.2,0.0,24.02
2022-08-22/2022-08-28,1004.63,28.64,77.0,1.01,6.21,21.81
2022-08-29/2022-09-04,997.66,28.71,81.14,1.19,0.43,16.7
2022-09-05/2022-09-11,1006.0,26.34,80.14,1.34,7.14,15.87
2022-09-12/2022-09-18,999.91,26.87,83.86,0.93,3.79,16.7
2022-09-19/2022-09-25,1006.36,25.73,80.71,1.4,4.43,14.2
2022-09-26/2022-10-02,1008.4,26.69,86.29,0.8,7.86,17.17
2022-10-03/2022-10-09,1011.64,25.37,88.43,1.4,55.29,12.88
2022-10-10/2022-10-16,1009.37,23.73,87.29,1.84,22.07,8.36
2022-10-17/2022-10-23,1011.89,23.5,84.29,1.89,12.64,6.83
2022-10-24/2022-10-30,1013.0,22.43,77.71,1.71,13.07,9.61
2022-10-31/2022-11-06,1011.3,22.49,88.57,1.74,27.86,7.49
2022-11-07/2022-11-13,1012.86,23.57,86.0,1.03,3.21,12.09
2022-11-14/2022-11-20,1011.83,23.54,86.29,0.91,4.86,10.44
2022-11-21/2022-11-27,1011.29,22.91,89.43,0.84,1.43,6.85
2022-11-28/2022-12-04,1013.21,22.69,82.86,1.24,0.0,10.88
2022-12-05/2022-12-11,1011.3,21.06,78.86,1.44,0.07,9.66
2022-12-12/2022-12-18,1015.76,18.51,79.14,1.3,2.29,5.25
2022-12-19/2022-12-25,1015.16,15.6,68.71,1.07,0.0,8.78
2022-12-26/2023-01-01,1019.63,17.8,81.57,0.97,3.93,7.19
2023-01-02/2023-01-08,1018.97,18.36,85.43,1.07,5.71,6.53
2023-01-09/2023-01-15,1012.17,20.46,84.0,1.01,14.43,9.99
2023-01-16/2023-01-22,1017.24,17.6,82.14,0.96,1.57,7.21
2023-01-23/2023-01-29,1017.43,14.66,74.0,1.49,0.5,5.86
2023-01-30/2023-02-05,1015.09,17.79,80.29,1.04,0.14,10.27
2023-02-06/2023-02-12,1012.0,20.99,87.86,0.8,3.29,9.02
2023-02-13/2023-02-19,1016.57,18.34,76.71,1.41,0.64,10.48
2023-02-20/2023-02-26,1018.54,17.81,71.43,2.41,0.5,8.43
2023-02-27/2023-03-05,1020.39,17.67,67.0,1.36,0.0,13.11
2023-03-06/2023-03-12,1015.96,19.4,67.86,1.1,1.79,18.09
2023-03-13/2023-03-19,1013.76,19.49,81.57,1.23,1.0,10.12
2023-03-20/2023-03-26,1007.69,22.59,83.71,1.21,1.5,11.86
2023-03-27/2023-04-02,1010.8,20.44,88.0,0.84,5.0,6.82
2023-04-03/2023-04-09,1011.87,20.39,81.0,0.9,1.93,7.15
2023-04-10/2023-04-16,1008.33,22.7,80.0,0.97,0.07,15.53
2023-04-17/2023-04-23,1006.61,23.17,83.43,0.96,3.57,11.39
2023-04-24/2023-04-30,1010.23,22.4,85.14,1.37,1.21,10.86
2023-05-01/2023-05-07,1007.1,25.43,80.71,1.13,1.36,15.3
2023-05-08/2023-05-14,1009.9,21.6,83.0,0.86,2.86,8.75
2023-05-15/2023-05-21,1006.2,24.37,86.0,0.83,2.29,11.61
2023-05-22/2023-05-28,1007.61,24.46,85.43,1.07,9.0,13.27
2023-05-29/2023-06-04,1000.43,27.36,80.86,1.76,17.79,16.55
2023-06-05/2023-06-11,1003.27,27.03,86.86,0.97,35.86,14.54
2023-06-12/2023-06-18,1003.53,26.1,89.14,0.89,14.29,10.23
2023-06-19/2023-06-25,1004.24,28.29,78.43,0.94,0.43,20.91
2023-06-26/2023-07-02,1006.59,28.06,79.57,0.87,5.14,18.8
2023-07-03/2023-07-09,1004.34,29.06,76.14,1.04,0.0,25.04
2023-07-10/2023-07-16,1003.17,28.89,76.71,1.09,0.0,22.31
2023-07-17/2023-07-23,1005.87,28.61,78.43,0.94,1.71,22.1
2023-07-24/2023-07-30,1002.31,26.86,84.71,1.2,83.14,13.49
2023-07-31/2023-08-06,995.53,28.53,76.43,0.79,0.07,15.84
2023-08-07/2023-08-13,999.6,28.83,79.43,0.99,0.79,18.41
2023-08-14/2023-08-20,1002.44,27.53,82.29,0.83,2.79,17.84
2023-08-21/2023-08-27,1002.84,28.24,80.29,0.91,4.64,18.88
2023-08-28/2023-09-03,999.41,27.63,83.57,1.71,52.0,16.1
2023-09-04/2023-09-10,1003.96,26.16,86.71,1.17,26.79,13.78
2023-09-11/2023-09-17,1005.93,26.8,77.29,0.77,0.0,21.91
2023-09-18/2023-09-24,1007.81,27.77,78.29,0.91,0.0,20.42
2023-09-25/2023-10-01,1007.11,27.77,78.71,1.53,2.07,19.77
2023-10-02/2023-10-08,1004.97,26.43,84.57,1.54,18.64,9.76
2023-10-09/2023-10-15,1011.69,24.34,85.0,0.93,5.57,8.35
2023-10-16/2023-10-22,1014.13,23.64,83.0,0.74,1.36,7.41
2023-10-23/2023-10-29,1012.53,23.41,87.29,1.07,10.64,9.27
2023-10-30/2023-11-05,1012.64,23.61,83.43,0.63,2.57,12.32
2023-11-06/2023-11-12,1014.16,24.29,80.0,1.26,0.36,12.1
2023-11-13/2023-11-19,1018.71,19.61,78.14,1.16,1.14,9.23
2023-11-20/2023-11-26,1015.3,20.77,76.57,1.0,0.0,10.81
2023-11-27/2023-12-03,1017.43,20.59,79.86,1.23,1.07,7.99
2023-12-04/2023-12-10,1012.19,20.5,85.43,0.37,2.5,8.8
2023-12-11/2023-12-17,1016.03,20.97,82.57,0.61,0.0,7.47
2023-12-18/2023-12-24,1021.27,17.19,77.57,1.3,1.36,6.64
2023-12-25/2023-12-31,1018.59,18.76,80.86,0.8,2.64,7.62
2024-01-01/2024-01-07,1016.84,17.46,76.86,0.94,0.07,7.81
2024-01-08/2024-01-14,1015.99,17.2,78.86,0.67,1.14,7.61
2024-01-15/2024-01-21,1016.33,18.7,79.71,1.14,0.07,10.19
2024-01-22/2024-01-28,1022.5,14.46,83.0,0.81,0.21,2.98
2024-01-29/2024-02-04,1016.41,20.66,86.57,0.59,1.07,8.19
2024-02-05/2024-02-11,1017.8,17.1,84.71,1.11,4.57,6.55
2024-02-12/2024-02-18,1017.24,19.1,77.57,0.67,0.07,13.06
2024-02-19/2024-02-25,1015.29,20.7,86.14,1.2,1.86,10.12
2024-02-26/2024-03-03,1016.31,16.89,87.0,0.9,2.86,7.6
2024-03-04/2024-03-10,1013.09,17.87,79.0,0.84,0.57,7.28
2024-03-11/2024-03-17,1015.14,18.79,81.86,0.63,0.43,9.33
2024-03-18/2024-03-24,1014.31,19.9,79.0,0.83,0.29,9.18
2024-03-25/2024-03-31,1011.21,22.69,83.0,1.01,0.14,12.68
2024-04-01/2024-04-07,1008.67,24.07,84.29,1.16,2.0,14.12
2024-04-08/2024-04-14,1010.29,23.84,83.57,1.1,0.64,12.06
2024-04-15/2024-04-21,1006.56,25.91,80.29,1.1,0.57,13.9
2024-04-22/2024-04-28,1005.1,24.51,84.57,0.73,2.5,8.56
2024-04-29/2024-05-05,1006.59,25.0,84.43,1.04,2.5,13.24
2024-05-06/2024-05-12,1010.74,24.61,79.71,1.13,2.64,14.2
2024-05-13/2024-05-19,1009.24,23.47,77.71,1.13,0.07,12.46
2024-05-20/2024-05-26,1006.29,25.97,87.29,0.71,11.64,10.57
2024-05-27/2024-06-02,1003.74,26.16,85.57,1.01,3.07,11.88
2024-06-03/2024-06-09,1006.01,25.39,83.86,0.99,5.07,11.56
2024-06-10/2024-06-16,1002.11,28.14,80.71,0.87,0.0,14.84
2024-06-17/2024-06-23,1003.44,28.93,81.71,0.99,2.43,16.71
2024-06-24/2024-06-30,1006.69,29.37,79.14,1.11,6.93,20.93
2024-07-01/2024-07-07,1006.77,29.64,76.71,1.06,8.79,24.07
2024-07-08/2024-07-14,1004.4,29.54,74.86,1.06,1.79,23.77
2024-07-15/2024-07-21,1006.61,29.91,72.71,1.09,0.0,24.18
2024-07-22/2024-07-28,997.65,27.48,86.5,1.13,24.92,13.12
2024-07-29/2024-08-04,1004.47,28.74,80.43,1.09,4.43,22.09
2024-08-05/2024-08-11,1001.21,28.97,75.0,0.99,0.57,20.19
2024-08-12/2024-08-18,1002.13,27.76,83.0,0.89,6.43,16.18
2024-08-19/2024-08-25,1004.96,28.21,81.57,1.13,5.79,18.68
2024-08-26/2024-09-01,1002.67,28.97,76.0,1.01,0.07,24.25
2024-09-02/2024-09-08,1003.67,28.81,77.29,1.04,0.14,19.53
2024-09-09/2024-09-15,1001.47,27.97,77.0,1.27,1.64,20.61
2024-09-16/2024-09-22,1001.51,28.04,80.43,1.03,5.21,16.63
2024-09-23/2024-09-29,1006.27,27.0,85.86,1.36,9.0,11.87
2024-09-30/2024-10-06,1006.24,25.29,88.71,0.89,45.79,9.48
2024-10-07/2024-10-13,1010.54,25.06,80.86,1.03,0.0,10.73
2024-10-14/2024-10-20,1011.0,26.37,82.43,1.13,7.79,16.73
2024-10-21/2024-10-27,1006.97,25.61,86.29,1.76,15.79,10.15
2024-10-28/2024-11-03,1005.69,25.0,85.29,2.71,53.29,6.69
2024-11-04/2024-11-10,1014.1,23.49,81.29,1.79,0.93,10.09
2024-11-11/2024-11-17,1009.36,24.67,86.14,1.0,5.5,8.63
2024-11-18/2024-11-24,1015.93,21.64,84.0,1.69,3.0,5.99
2024-11-25/2024-12-01,1014.7,21.15,81.5,1.75,5.75,11.34
