週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2020-03-02/2020-03-08,1011.89,21.23,80.29,1.86,0.07,17.75
2020-03-09/2020-03-15,1011.03,21.39,81.71,2.0,3.36,15.15
2020-03-16/2020-03-22,1012.21,21.2,79.0,1.19,0.0,19.25
2020-03-23/2020-03-29,1009.9,23.87,77.71,1.83,0.5,21.01
2020-03-30/2020-04-05,1011.53,22.06,78.57,2.01,0.0,16.62
2020-04-06/2020-04-12,1011.31,20.76,79.71,2.0,2.64,19.08
2020-04-13/2020-04-19,1011.16,22.6,68.0,1.57,0.0,23.21
2020-04-20/2020-04-26,1011.0,23.26,79.43,1.8,0.0,16.78
2020-04-27/2020-05-03,1009.36,25.84,72.86,1.44,0.0,24.25
2020-05-04/2020-05-10,1006.04,28.47,75.71,1.53,0.0,25.53
2020-05-11/2020-05-17,1005.49,27.91,77.71,1.54,0.64,22.25
2020-05-18/2020-05-24,1002.93,25.39,90.71,1.67,37.64,8.19
2020-05-25/2020-05-31,1007.03,27.66,85.71,1.71,12.0,18.11
2020-06-01/2020-06-07,1005.81,28.79,79.29,1.47,0.64,24.65
2020-06-08/2020-06-14,1005.24,28.36,81.57,1.77,1.43,18.37
2020-06-15/2020-06-21,1005.57,29.27,76.86,1.6,0.93,21.94
2020-06-22/2020-06-28,1004.57,29.33,77.86,1.84,0.29,19.67
2020-06-29/2020-07-05,1004.33,28.67,84.14,2.09,8.79,18.28
2020-07-06/2020-07-12,1004.57,29.61,78.57,1.57,3.79,23.37
2020-07-13/2020-07-19,1004.29,29.17,81.14,1.41,4.64,21.32
2020-07-20/2020-07-26,1005.53,28.66,82.43,1.56,3.14,18.61
2020-07-27/2020-08-02,1003.96,27.67,87.29,1.23,14.57,15.28
2020-08-03/2020-08-09,1003.76,27.44,89.0,1.64,24.29,18.01
2020-08-10/2020-08-16,1006.03,27.41,87.71,1.64,14.71,17.53
2020-08-17/2020-08-23,1003.84,27.84,85.86,1.44,8.0,19.33
2020-08-24/2020-08-30,1000.79,27.01,90.14,2.17,48.57,13.35
2020-08-31/2020-09-06,1002.2,27.4,85.86,1.47,14.93,19.62
2020-09-07/2020-09-13,1006.17,27.83,82.0,1.19,0.5,18.92
2020-09-14/2020-09-20,1006.7,28.37,85.14,1.14,10.0,18.72
2020-09-21/2020-09-27,1005.66,27.33,81.86,1.23,0.0,18.41
2020-09-28/2020-10-04,1005.2,26.87,81.14,1.14,0.0,19.63
2020-10-05/2020-10-11,1007.19,26.01,77.14,1.54,0.0,18.21
2020-10-12/2020-10-18,1008.44,26.31,84.71,0.99,0.36,15.73
2020-10-19/2020-10-25,1006.9,24.37,82.86,1.59,0.14,14.09
2020-10-26/2020-11-01,1010.16,24.8,80.14,1.11,0.0,15.58
2020-11-02/2020-11-08,1009.91,23.23,83.86,1.56,0.79,12.43
2020-11-09/2020-11-15,1012.44,21.87,87.71,1.23,0.07,10.25
2020-11-16/2020-11-22,1010.24,24.8,85.57,0.89,0.0,12.52
2020-11-23/2020-11-29,1014.19,23.21,83.0,1.31,0.0,13.84
2020-11-30/2020-12-06,1013.11,20.36,78.43,1.86,0.0,12.15
2020-12-07/2020-12-13,1011.09,21.3,87.29,1.79,0.79,10.96
2020-12-14/2020-12-20,1015.11,18.86,81.71,2.23,0.0,13.08
2020-12-21/2020-12-27,1012.4,19.04,86.14,2.04,0.29,11.29
2020-12-28/2021-01-03,1014.87,15.91,77.0,2.2,0.0,13.63
2021-01-04/2021-01-10,1015.49,14.6,77.57,2.46,0.0,10.77
2021-01-11/2021-01-17,1014.29,14.2,74.86,1.99,0.07,15.44
2021-01-18/2021-01-24,1011.94,17.6,85.14,1.09,0.5,12.9
2021-01-25/2021-01-31,1014.96,16.74,81.86,1.6,0.0,16.79
2021-02-01/2021-02-07,1015.17,17.7,78.43,1.09,0.0,19.07
2021-02-08/2021-02-14,1010.59,18.74,86.29,1.66,1.0,15.12
2021-02-15/2021-02-21,1014.61,17.54,74.29,1.51,0.07,20.19
2021-02-22/2021-02-28,1009.17,20.74,80.14,1.46,0.0,19.5
2021-03-01/2021-03-07,1013.31,21.07,80.43,1.73,0.07,17.64
2021-03-08/2021-03-14,1014.27,20.8,80.57,1.59,0.0,20.5
2021-03-15/2021-03-21,1009.14,22.83,78.0,1.71,0.0,22.03
2021-03-22/2021-03-28,1011.39,20.53,79.0,1.71,0.71,16.53
2021-03-29/2021-04-04,1005.57,25.77,80.43,1.29,0.0,20.9
2021-04-05/2021-04-11,1012.06,22.17,73.86,1.9,0.0,17.92
2021-04-12/2021-04-18,1009.73,24.74,75.43,1.81,0.0,23.34
2021-04-19/2021-04-25,1006.1,24.9,79.43,1.44,1.07,18.4
2021-04-26/2021-05-02,1009.67,24.06,84.57,1.06,1.71,16.02
2021-05-03/2021-05-09,1008.37,27.29,77.29,1.54,0.0,22.86
2021-05-10/2021-05-16,1005.87,29.21,73.57,1.94,0.0,27.44
2021-05-17/2021-05-23,1005.57,30.2,73.14,1.9,0.0,26.38
2021-05-24/2021-05-30,1005.34,29.3,78.57,1.67,7.86,20.49
2021-05-31/2021-06-06,1002.49,27.8,86.86,1.94,66.5,15.81
2021-06-07/2021-06-13,1005.29,27.64,86.71,1.22,3.64,19.23
2021-06-14/2021-06-20,1003.07,27.61,90.57,1.57,27.43,15.57
2021-06-21/2021-06-27,1003.39,25.91,94.0,2.19,39.21,11.24
2021-06-28/2021-07-04,1004.31,27.94,86.86,1.87,15.07,20.13
2021-07-05/2021-07-11,1006.49,28.81,86.14,1.51,5.43,21.08
2021-07-12/2021-07-18,1004.37,27.71,85.57,1.53,7.0,20.42
2021-07-19/2021-07-25,995.51,27.9,89.29,2.34,16.07,15.48
2021-07-26/2021-08-01,996.54,27.01,93.86,2.07,72.21,10.31
2021-08-02/2021-08-08,996.76,26.31,97.29,3.1,56.64,4.9
2021-08-09/2021-08-15,1005.49,27.14,90.14,1.96,24.0,17.25
2021-08-16/2021-08-22,1006.13,28.53,82.43,1.41,0.07,20.71
2021-08-23/2021-08-29,1006.74,28.2,82.43,1.57,12.07,21.94
2021-08-30/2021-09-05,1006.11,27.09,89.14,1.17,10.07,14.42
2021-09-06/2021-09-12,1002.73,28.36,87.43,1.16,0.43,17.73
2021-09-13/2021-09-19,1006.6,28.31,84.71,1.34,14.07,19.08
2021-09-20/2021-09-26,1007.96,27.89,84.43,1.26,7.5,18.75
2021-09-27/2021-10-03,1005.57,28.29,84.14,0.89,0.36,18.3
2021-10-04/2021-10-10,1004.91,28.17,83.86,0.99,0.0,17.06
2021-10-11/2021-10-17,1003.56,26.01,92.71,0.99,4.43,10.45
2021-10-18/2021-10-24,1011.91,24.59,84.29,1.36,0.0,16.87
2021-10-25/2021-10-31,1012.34,24.27,85.43,1.26,0.0,17.45
2021-11-01/2021-11-07,1010.19,25.0,87.43,0.96,0.0,16.9
2021-11-08/2021-11-14,1012.37,20.37,80.71,1.94,0.29,15.37
2021-11-15/2021-11-21,1009.77,22.87,88.57,1.36,0.07,16.44
2021-11-22/2021-11-28,1013.06,20.31,90.0,1.7,0.36,11.36
2021-11-29/2021-12-05,1013.8,18.13,82.43,1.66,0.07,14.04
2021-12-06/2021-12-12,1015.4,19.3,86.71,1.11,0.0,16.39
2021-12-13/2021-12-19,1013.92,19.11,83.71,1.53,0.0,14.19
2021-12-20/2021-12-26,1013.09,18.73,95.71,1.74,1.64,8.14
2021-12-27/2022-01-02,1018.91,16.84,87.29,1.99,0.07,14.36
2022-01-03/2022-01-09,1014.26,18.14,89.29,1.79,0.0,14.14
2022-01-10/2022-01-16,1014.96,16.23,83.43,1.93,0.0,14.24
2022-01-17/2022-01-23,1012.04,18.57,94.0,1.74,2.36,10.88
2022-01-24/2022-01-30,1010.87,18.77,95.14,1.99,3.14,10.6
2022-01-31/2022-02-06,1014.76,16.99,86.57,2.24,0.0,15.51
2022-02-07/2022-02-13,1012.17,18.43,91.14,2.16,0.0,16.41
2022-02-14/2022-02-20,1011.46,16.14,90.71,2.43,4.86,10.04
2022-02-21/2022-02-27,1016.46,15.76,88.0,1.87,0.71,12.12
2022-02-28/2022-03-06,1011.59,21.64,79.0,1.26,0.0,21.59
2022-03-07/2022-03-13,1010.8,19.1,73.57,1.67,0.21,21.8
2022-03-14/2022-03-20,1006.71,23.51,78.57,1.21,0.0,17.45
2022-03-21/2022-03-27,1009.23,23.14,84.71,1.71,2.86,13.67
2022-03-28/2022-04-03,1013.4,19.3,87.57,2.1,0.0,10.9
2022-04-04/2022-04-10,1011.54,22.14,78.57,1.29,0.0,23.09
2022-04-11/2022-04-17,1006.34,24.0,74.43,1.5,0.0,20.88
2022-04-18/2022-04-24,1009.36,24.63,79.14,1.5,0.0,18.32
2022-04-25/2022-05-01,1006.91,26.9,78.14,1.89,0.07,22.27
2022-05-02/2022-05-08,1008.36,23.66,87.0,1.36,2.79,16.3
2022-05-09/2022-05-15,1005.8,25.1,85.86,1.5,10.79,11.07
2022-05-16/2022-05-22,1005.9,24.21,85.86,1.53,2.21,16.89
2022-05-23/2022-05-29,1004.21,26.63,88.14,1.54,18.07,14.67
2022-05-30/2022-06-05,1004.14,28.07,82.14,1.47,4.93,21.4
2022-06-06/2022-06-12,1004.24,26.99,85.71,1.77,16.14,14.15
2022-06-13/2022-06-19,1005.4,28.49,79.14,1.39,2.36,22.11
2022-06-20/2022-06-26,1005.46,28.9,76.86,1.64,0.57,23.13
2022-06-27/2022-07-03,1002.43,27.47,86.57,1.44,13.43,16.54
2022-07-04/2022-07-10,1003.99,28.34,82.86,1.73,6.36,20.94
2022-07-11/2022-07-17,1003.11,28.4,83.71,1.31,4.21,17.53
2022-07-18/2022-07-24,1005.69,29.66,80.43,1.5,0.0,23.96
2022-07-25/2022-07-31,1002.31,29.09,82.14,1.23,4.21,21.07
2022-08-01/2022-08-07,1004.66,27.33,86.86,1.24,16.0,16.14
2022-08-08/2022-08-14,1004.64,27.76,84.0,1.36,21.14,19.72
2022-08-15/2022-08-21,1004.01,27.74,85.71,1.56,12.57,19.55
2022-08-22/2022-08-28,1004.26,29.06,80.71,1.39,7.57,21.65
2022-08-29/2022-09-04,999.66,27.46,86.71,2.24,17.79,13.34
2022-09-05/2022-09-11,1005.66,27.51,84.57,1.56,1.07,16.19
2022-09-12/2022-09-18,1001.13,27.16,80.14,1.61,0.07,17.97
2022-09-19/2022-09-25,1005.06,26.56,82.0,1.34,3.64,15.46
2022-09-26/2022-10-02,1006.93,28.33,80.14,1.04,0.0,19.62
2022-10-03/2022-10-09,1009.89,27.66,82.57,1.06,2.71,17.19
2022-10-10/2022-10-16,1006.17,24.43,80.57,1.66,0.29,16.66
2022-10-17/2022-10-23,1008.5,24.17,81.43,1.47,0.14,13.5
2022-10-24/2022-10-30,1008.96,24.23,78.43,1.17,0.0,15.41
2022-10-31/2022-11-06,1007.87,23.5,85.0,1.51,0.86,12.39
2022-11-07/2022-11-13,1011.3,24.34,86.43,1.07,0.0,16.02
2022-11-14/2022-11-20,1010.63,24.17,85.86,1.13,0.0,15.22
2022-11-21/2022-11-27,1010.03,24.43,84.86,1.2,0.0,12.06
2022-11-28/2022-12-04,1011.37,23.19,82.14,1.74,0.0,15.61
2022-12-05/2022-12-11,1009.99,20.3,79.0,2.2,0.0,16.05
2022-12-12/2022-12-18,1013.1,17.41,78.14,2.79,1.5,10.61
2022-12-19/2022-12-25,1013.37,14.21,72.71,1.71,0.0,16.66
2022-12-26/2023-01-01,1017.16,16.53,80.86,1.64,0.0,12.41
2023-01-02/2023-01-08,1016.6,18.56,84.71,1.89,0.07,13.0
2023-01-09/2023-01-15,1011.0,20.64,84.71,1.46,0.07,14.32
2023-01-16/2023-01-22,1015.36,16.93,78.71,2.26,0.0,16.74
2023-01-23/2023-01-29,1015.51,14.39,70.0,2.63,0.0,17.82
2023-01-30/2023-02-05,1013.34,17.4,77.14,1.5,0.0,17.3
2023-02-06/2023-02-12,1011.07,20.94,82.71,1.57,0.07,16.52
2023-02-13/2023-02-19,1014.54,17.94,76.71,2.13,0.0,16.33
2023-02-20/2023-02-26,1015.57,17.06,72.71,2.64,0.0,18.41
2023-02-27/2023-03-05,1018.64,16.99,75.29,1.61,0.0,21.67
2023-03-06/2023-03-12,1014.73,19.61,67.0,1.4,0.0,21.86
2023-03-13/2023-03-19,1012.4,20.74,74.71,1.7,0.0,20.39
2023-03-20/2023-03-26,1007.93,23.43,78.86,1.63,0.14,19.73
2023-03-27/2023-04-02,1009.56,21.47,81.57,2.1,0.07,16.84
2023-04-03/2023-04-09,1009.76,23.76,74.0,1.66,0.93,19.43
2023-04-10/2023-04-16,1007.6,24.4,76.14,1.39,0.0,22.19
2023-04-17/2023-04-23,1006.11,26.17,78.29,1.9,0.86,16.83
2023-04-24/2023-04-30,1008.74,25.3,74.57,1.67,0.0,21.0
2023-05-01/2023-05-07,1006.33,27.13,74.29,1.7,2.21,22.77
2023-05-08/2023-05-14,1008.56,24.5,78.71,1.51,0.57,15.2
2023-05-15/2023-05-21,1005.96,27.04,81.86,1.64,2.0,18.85
2023-05-22/2023-05-28,1006.66,27.64,81.0,1.29,1.29,19.81
2023-05-29/2023-06-04,1000.07,28.24,82.86,1.51,4.57,18.03
2023-06-05/2023-06-11,1003.11,28.49,82.71,1.47,0.0,19.53
2023-06-12/2023-06-18,1003.27,27.8,87.14,1.96,3.93,15.5
2023-06-19/2023-06-25,1004.96,29.24,78.86,1.59,1.36,26.02
2023-06-26/2023-07-02,1005.83,28.63,82.43,2.0,6.5,18.94
2023-07-03/2023-07-09,1006.49,30.23,73.43,1.7,0.0,26.44
2023-07-10/2023-07-16,1001.3,29.03,80.83,1.55,3.42,16.45
2023-07-17/2023-07-23,1005.39,28.5,84.43,1.46,12.14,19.01
2023-07-24/2023-07-30,999.09,27.27,89.57,2.4,34.0,13.21
2023-07-31/2023-08-06,999.74,28.77,85.86,1.76,1.86,14.12
2023-08-07/2023-08-13,1001.39,27.56,90.43,2.0,37.5,13.94
2023-08-14/2023-08-20,1003.39,27.13,92.29,1.67,9.93,11.36
2023-08-21/2023-08-27,1002.86,28.1,85.71,1.36,11.0,21.09
2023-08-28/2023-09-03,997.16,27.84,89.86,1.27,2.86,13.82
2023-09-04/2023-09-10,1002.56,26.27,93.57,2.89,37.64,12.26
2023-09-11/2023-09-17,1005.77,27.36,85.29,1.04,0.0,19.76
2023-09-18/2023-09-24,1006.79,28.34,83.29,1.11,0.07,19.97
2023-09-25/2023-10-01,1005.71,28.23,87.14,1.1,4.93,16.5
2023-10-02/2023-10-08,1003.01,26.43,88.71,2.1,2.5,11.68
2023-10-09/2023-10-15,1009.86,26.2,84.57,0.84,0.0,15.84
2023-10-16/2023-10-22,1011.89,24.99,86.71,0.71,0.0,12.67
2023-10-23/2023-10-29,1010.91,25.4,85.86,0.7,0.0,15.69
2023-10-30/2023-11-05,1011.14,24.63,83.71,0.81,0.0,18.1
2023-11-06/2023-11-12,1012.17,25.06,83.0,1.1,0.0,16.15
2023-11-13/2023-11-19,1016.53,20.39,75.0,1.73,0.0,16.15
2023-11-20/2023-11-26,1013.39,20.27,79.86,0.99,0.0,18.14
2023-11-27/2023-12-03,1014.49,21.64,83.29,1.53,0.0,12.46
2023-12-04/2023-12-10,1011.07,21.51,85.57,1.53,0.0,14.19
2023-12-11/2023-12-17,1013.83,21.9,86.71,1.26,0.0,11.51
2023-12-18/2023-12-24,1018.63,16.6,86.57,2.19,1.93,9.4
2023-12-25/2023-12-31,1016.77,18.3,90.43,1.34,1.93,10.24
2024-01-01/2024-01-07,1015.11,17.5,85.29,1.46,0.0,14.87
2024-01-08/2024-01-14,1014.53,17.11,81.0,1.46,0.0,16.56
2024-01-15/2024-01-21,1014.47,19.19,86.0,1.44,0.0,16.91
2024-01-22/2024-01-28,1020.4,14.3,85.0,2.26,0.07,13.32
2024-01-29/2024-02-04,1015.54,20.21,87.57,1.17,0.0,15.26
2024-02-05/2024-02-11,1016.14,17.24,86.57,2.14,0.71,14.85
2024-02-12/2024-02-18,1016.27,18.64,79.0,1.23,0.0,20.75
2024-02-19/2024-02-25,1013.83,22.4,81.57,2.04,0.0,21.76
2024-02-26/2024-03-03,1014.79,17.53,86.29,2.0,0.0,13.96
2024-03-04/2024-03-10,1011.76,19.76,80.43,1.64,0.43,13.4
2024-03-11/2024-03-17,1013.67,21.12,81.17,1.5,0.0,17.22
2024-03-18/2024-03-24,1012.64,22.37,77.57,2.04,0.0,21.24
2024-03-25/2024-03-31,1010.84,25.63,81.57,1.54,0.0,19.86
2024-04-01/2024-04-07,1008.41,26.46,82.43,1.74,3.86,22.71
2024-04-08/2024-04-14,1009.73,25.76,84.86,1.39,0.0,19.06
2024-04-15/2024-04-21,1006.81,26.96,80.86,1.44,0.0,22.74
2024-04-22/2024-04-28,1005.76,25.26,90.57,1.84,0.83,9.09
2024-04-29/2024-05-05,1006.47,26.2,85.14,1.53,5.4,20.15
2024-05-06/2024-05-12,1009.39,26.63,82.57,1.1,0.0,22.21
2024-05-13/2024-05-19,1007.56,25.0,79.0,1.3,0.0,17.07
2024-05-20/2024-05-26,1005.89,26.94,86.14,0.93,3.86,13.03
2024-05-27/2024-06-02,1003.86,27.44,86.43,1.77,27.57,13.74
2024-06-03/2024-06-09,1005.56,26.29,88.57,1.04,9.64,14.62
2024-06-10/2024-06-16,1004.8,27.99,87.29,1.8,20.86,16.66
2024-06-17/2024-06-23,1004.09,30.27,78.71,2.06,0.0,25.06
2024-06-24/2024-06-30,1006.96,29.37,79.57,1.9,4.07,22.28
2024-07-01/2024-07-07,1006.51,29.2,81.29,1.73,7.57,22.62
2024-07-08/2024-07-14,1004.47,28.97,78.71,1.8,0.43,24.25
2024-07-15/2024-07-21,1005.4,28.82,85.2,1.44,24.6,17.46
2024-07-22/2024-07-28,994.96,27.94,90.71,3.64,104.29,10.63
2024-07-29/2024-08-04,1004.86,29.0,83.86,1.56,8.71,22.21
2024-08-05/2024-08-11,1001.94,27.49,88.14,1.43,21.21,14.91
2024-08-12/2024-08-18,1002.97,27.54,89.29,1.43,42.14,14.66
2024-08-19/2024-08-25,1006.03,27.89,85.0,1.66,10.71,20.49
2024-08-26/2024-09-01,1002.91,28.71,83.86,1.13,5.21,20.7
2024-09-02/2024-09-08,1002.51,27.63,89.43,1.3,30.79,15.56
2024-09-09/2024-09-15,1001.16,27.41,86.0,1.37,7.43,18.49
2024-09-16/2024-09-22,1000.84,27.87,88.29,1.69,24.0,15.01
2024-09-23/2024-09-29,1004.5,28.2,85.6,1.26,0.0,14.17
2024-09-30/2024-10-06,1002.57,25.99,92.29,1.61,10.43,10.92
2024-10-07/2024-10-13,1008.7,26.04,86.0,1.1,17.86,18.21
2024-10-14/2024-10-20,1009.49,27.16,86.0,0.9,0.0,15.52
2024-10-21/2024-10-27,1003.7,26.09,85.71,1.47,4.71,14.36
2024-10-28/2024-11-03,1003.17,25.23,88.43,2.31,11.57,12.26
2024-11-04/2024-11-10,1011.01,23.77,83.86,1.44,0.0,15.36
2024-11-11/2024-11-17,1006.9,24.8,91.86,1.27,8.5,10.08
2024-11-18/2024-11-24,1012.23,22.04,84.57,1.6,0.0,11.71
2024-11-25/2024-12-01,1013.2,22.25,84.0,2.25,0.0,16.58
