週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2023-01-09/2023-01-15,1014.29,19.37,82.29,3.26,0.0,12.05
2023-01-16/2023-01-22,1018.93,15.8,76.86,5.73,0.0,15.0
2023-01-23/2023-01-29,1019.2,13.51,67.14,6.24,0.21,16.63
2023-01-30/2023-02-05,1016.77,16.33,75.29,4.2,0.0,15.88
2023-02-06/2023-02-12,1014.56,18.16,84.0,3.36,0.36,13.55
2023-02-13/2023-02-19,1018.01,16.61,75.43,5.17,0.0,17.37
2023-02-20/2023-02-26,1019.19,15.29,72.71,7.31,0.0,14.91
2023-02-27/2023-03-05,1022.07,16.46,69.86,4.24,0.0,21.12
2023-03-06/2023-03-12,1017.89,19.8,67.57,2.24,0.0,21.09
2023-03-13/2023-03-19,1015.79,19.91,73.29,3.59,0.0,18.57
2023-03-20/2023-03-26,1011.16,22.54,78.43,3.06,0.29,18.53
2023-03-27/2023-04-02,1013.03,20.03,80.29,4.29,1.64,12.86
2023-04-03/2023-04-09,1013.0,21.9,73.71,2.89,0.79,17.89
2023-04-10/2023-04-16,1010.83,23.57,74.86,1.99,0.0,21.34
2023-04-17/2023-04-23,1009.07,25.2,77.71,2.61,10.86,17.9
2023-04-24/2023-04-30,1012.14,23.56,75.86,3.43,0.0,21.16
2023-05-01/2023-05-07,1009.3,25.66,77.0,2.84,8.0,17.95
2023-05-08/2023-05-14,1011.79,23.51,75.29,2.97,0.07,18.39
2023-05-15/2023-05-21,1008.8,26.8,78.71,2.33,3.43,19.55
2023-05-22/2023-05-28,1009.79,26.59,79.14,2.14,2.0,23.26
2023-05-29/2023-06-04,1003.16,28.0,80.86,3.11,0.57,21.23
2023-06-05/2023-06-11,1006.09,28.54,79.86,2.17,2.0,21.69
2023-06-12/2023-06-18,1006.1,27.91,83.14,2.13,16.86,17.11
2023-06-19/2023-06-25,1007.9,29.11,78.0,2.71,0.0,26.8
2023-06-26/2023-07-02,1008.64,29.03,78.0,2.64,1.93,22.52
2023-07-03/2023-07-09,1009.2,29.67,76.0,3.09,0.0,27.1
2023-07-10/2023-07-16,1005.07,29.47,76.71,2.11,1.0,23.65
2023-07-17/2023-07-23,1008.41,28.87,78.43,2.41,11.79,23.45
2023-07-24/2023-07-30,1001.87,28.11,82.0,2.81,7.36,15.41
2023-07-31/2023-08-06,1002.31,28.87,83.0,3.34,5.64,17.89
2023-08-07/2023-08-13,1003.79,28.34,82.57,3.09,7.79,17.1
2023-08-14/2023-08-20,1005.97,28.4,81.71,2.67,11.14,19.68
2023-08-21/2023-08-27,1005.73,29.01,79.43,2.0,1.5,24.36
2023-08-28/2023-09-03,1000.07,28.84,81.29,2.14,0.64,17.06
2023-09-04/2023-09-10,1005.29,26.96,84.86,3.01,20.14,15.63
2023-09-11/2023-09-17,1008.81,27.8,78.29,1.43,0.07,21.63
2023-09-18/2023-09-24,1009.79,28.73,79.86,1.61,0.0,22.79
2023-09-25/2023-10-01,1008.76,28.89,80.0,2.14,0.0,19.24
2023-10-02/2023-10-08,1006.34,26.71,80.86,5.8,2.93,13.01
2023-10-09/2023-10-15,1013.07,25.69,74.57,3.77,0.0,19.19
2023-10-16/2023-10-22,1015.07,24.91,76.43,2.84,0.0,12.74
2023-10-23/2023-10-29,1014.06,25.21,80.57,1.96,0.0,16.84
2023-10-30/2023-11-05,1014.3,24.73,80.0,2.17,0.0,18.9
2023-11-06/2023-11-12,1015.47,24.64,78.14,3.36,0.0,16.35
2023-11-13/2023-11-19,1019.94,20.04,68.57,4.43,0.0,16.04
2023-11-20/2023-11-26,1016.49,20.76,75.43,2.26,0.0,17.11
2023-11-27/2023-12-03,1017.86,21.4,76.29,4.37,0.0,12.27
2023-12-04/2023-12-10,1014.46,21.47,75.86,2.9,0.0,12.78
2023-12-11/2023-12-17,1017.17,21.56,78.86,3.67,0.0,13.18
2023-12-18/2023-12-24,1022.19,16.24,72.86,6.24,0.0,9.58
2023-12-25/2023-12-31,1020.14,18.51,79.14,4.07,0.79,11.49
2024-01-01/2024-01-07,1018.54,17.33,74.29,4.06,0.0,14.51
2024-01-08/2024-01-14,1017.87,17.49,73.0,3.43,0.0,16.07
2024-01-15/2024-01-21,1017.87,18.86,80.57,3.53,0.0,15.85
2024-01-22/2024-01-28,1024.04,13.7,72.43,6.0,0.07,11.96
2024-01-29/2024-02-04,1018.91,19.23,84.29,2.87,0.14,14.65
2024-02-05/2024-02-11,1019.73,16.16,76.14,5.39,1.21,12.96
2024-02-12/2024-02-18,1019.54,18.43,73.71,2.27,0.0,20.02
2024-02-19/2024-02-25,1017.21,21.46,80.71,3.73,0.0,18.48
2024-02-26/2024-03-03,1018.34,16.61,76.14,5.09,0.07,15.12
2024-03-04/2024-03-10,1015.04,18.94,70.57,4.36,0.0,14.98
2024-03-11/2024-03-17,1017.14,19.73,78.57,2.84,0.21,18.79
2024-03-18/2024-03-24,1015.9,21.34,71.29,3.7,0.0,20.66
2024-03-25/2024-03-31,1013.97,24.77,80.43,2.59,0.0,18.58
2024-04-01/2024-04-07,1011.56,25.4,80.29,2.91,3.5,20.77
2024-04-08/2024-04-14,1013.01,24.63,81.14,2.51,0.14,18.53
2024-04-15/2024-04-21,1009.8,26.63,79.14,2.47,0.0,23.33
2024-04-22/2024-04-28,1008.51,25.41,84.14,2.63,17.64,8.62
2024-04-29/2024-05-05,1009.67,25.43,82.71,2.86,4.0,19.59
2024-05-06/2024-05-12,1012.57,26.06,75.43,2.11,0.0,23.21
2024-05-13/2024-05-19,1010.89,24.16,74.71,3.06,0.0,19.02
2024-05-20/2024-05-26,1009.07,26.57,86.43,1.5,0.57,11.34
2024-05-27/2024-06-02,1006.69,27.37,83.29,2.9,16.0,15.58
2024-06-03/2024-06-09,1008.67,26.01,83.71,2.23,1.79,17.39
2024-06-10/2024-06-16,1007.3,28.7,83.86,3.3,8.14,20.8
2024-06-17/2024-06-23,1006.9,30.04,81.43,3.11,0.0,25.2
2024-06-24/2024-06-30,1009.9,29.74,78.86,2.84,1.93,23.68
2024-07-01/2024-07-07,1009.57,29.37,80.71,2.64,0.93,26.2
2024-07-08/2024-07-14,1007.43,29.24,78.43,2.59,0.0,26.77
2024-07-15/2024-07-21,1008.84,29.77,79.29,2.0,0.14,24.04
2024-07-22/2024-07-28,997.39,28.49,87.43,5.0,67.5,13.24
2024-07-29/2024-08-04,1007.73,29.29,82.0,2.71,0.0,25.71
2024-08-05/2024-08-11,1004.73,28.67,82.71,2.16,3.07,19.27
2024-08-12/2024-08-18,1005.71,28.39,85.43,2.46,5.57,19.05
2024-08-19/2024-08-25,1008.79,28.04,83.86,2.66,7.43,20.65
2024-08-26/2024-09-01,1005.94,29.29,81.43,1.99,0.0,24.35
2024-09-02/2024-09-08,1005.43,28.91,83.14,1.97,6.5,20.62
2024-09-09/2024-09-15,1004.17,27.93,84.43,1.93,16.93,19.24
2024-09-16/2024-09-22,1003.74,28.16,86.29,2.46,12.57,17.02
2024-09-23/2024-09-29,1008.76,28.31,83.57,2.31,1.0,20.31
2024-09-30/2024-10-06,1005.89,26.84,86.0,4.84,0.36,12.37
2024-10-07/2024-10-13,1011.93,25.97,80.0,3.23,0.0,19.74
2024-10-14/2024-10-20,1013.36,27.06,84.43,2.23,0.0,17.51
2024-10-21/2024-10-27,1006.83,25.96,59.14,5.23,0.0,14.68
2024-10-28/2024-11-03,1005.84,24.8,76.71,6.14,4.29,12.74
2024-11-04/2024-11-10,1014.13,23.36,72.86,4.93,0.0,14.41
2024-11-11/2024-11-17,1009.96,24.66,82.0,3.3,0.64,11.09
2024-11-18/2024-11-24,1015.4,21.76,72.86,5.53,0.0,11.42
2024-11-25/2024-12-01,1016.55,21.65,76.5,3.65,0.0,15.82
